Selection,ID,zphot,zphot_err_plus,zphot_err_minus,MUV,MUV_err_plus,MUV_err_minus,Beta,Beta_err_plus,Beta_err_minus
F775W dropouts,46,6.01,,,-20.24,0.23,0.49,-2.12,0.06,0.06
F775W dropouts,71,5.93,,,-19.47,0.26,0.24,-2.2,0.05,0.04
F775W dropouts,89,5.82,,,-18.59,0.26,0.26,-2.3,0.05,0.05
F775W dropouts,98,5.72,,,-17.87,0.23,0.24,-2.38,0.07,0.07
F775W dropouts,43,5.85,,,-17.19,0.26,0.23,-2.38,0.12,0.13
F090W dropouts,53,7.57,,,-19.95,0.14,0.16,-2.16,0.06,0.08
F090W dropouts,86,7.36,,,-19.27,0.21,0.26,-2.25,0.04,0.04
F090W dropouts,160,7.32,,,-18.57,0.26,0.29,-2.33,0.04,0.04
F090W dropouts,221,7.27,,,-17.89,0.25,0.27,-2.37,0.04,0.04
F090W dropouts,136,7.2,,,-17.4,0.15,0.16,-2.41,0.1,0.1
F115W dropouts,37,9.31,,,-19.99,0.37,0.55,-2.28,0.06,0.07
F115W dropouts,78,9.26,,,-18.93,0.31,0.39,-2.33,0.09,0.08
F115W dropouts,117,9.31,,,-17.98,0.42,0.33,-2.41,0.07,0.07
F150W dropouts,24,12.02,,,-18.61,0.81,0.91,-2.48,0.12,0.14
