ID,zphot,zphot_err_plus,zphot_err_minus,MUV,MUV_err_plus,MUV_err_minus,Beta,Beta_err_plus,Beta_err_minus
F814W_93,6.07,0.17,0.15,-19.56,0.01,0.01,-2.53,0.14,0.1
F814W_131,6.29,0.11,0.12,-20.57,0.05,0.0,-2.66,0.1,0.09
F814W_663,7.23,0.15,0.08,-21.81,0.02,0.01,-2.25,0.08,0.08
F814W_886,6.23,0.08,0.11,-21.14,0.04,0.01,-2.32,0.11,0.1
F814W_912,6.74,0.25,0.14,-19.79,0.02,0.03,-2.36,0.22,0.13
F814W_1224,5.66,0.07,0.1,-21.28,0.02,0.02,-1.75,0.12,0.14
F814W_1242,6.03,0.16,0.14,-20.7,0.01,0.01,-1.98,0.15,0.13
F814W_1373,5.53,0.08,0.12,-19.89,0.04,0.03,-2.56,0.11,0.13
F814W_1391,6.07,0.17,0.16,-20.34,0.02,0.04,-1.69,0.15,0.14
F814W_1413,6.3,0.13,0.16,-20.51,0.06,0.01,-2.48,0.12,0.1
